itemid,price,currency
42060,3000,1
42061,3000,1
42062,3000,1
42063,3000,1
42064,3000,1
6112,3000,1
1054,3000,1
1053,3000,1
1006,1000,1
1007,2000,1
1008,3000,1
1009,4000,1
1010,2000,1
1011,2000,1
1012,2000,1
1013,2000,1
1014,2000,1
1015,1000,1
1016,2000,1
1017,1000,1
1018,1000,1
1019,1000,1
1020,1000,1
1021,1000,1
1022,2000,1
1060,3000,1
42011,1000,1
42057,1000,1
2039,1000,1
2040,1000,1
2041,1000,1
2042,1000,1
2043,1000,1
2044,1000,1
5998,1000,1
5999,1000,1
42060,5000,1
42061,5000,1
42062,5000,1
42063,5000,1
42064,5000,1
42065,5000,1
42066,5000,1
42067,5000,1
42068,5000,1
50040,3000,1
50013,1000,1
50038,1000,1
50029,1000,1
50034,1000,1
50036,1000,1
50041,1000,1
50001,1000,1
50024,1000,1
50026,1000,1
50033,1000,1
50003,1000,1
50018,1000,1
50031,1000,1
50004,1000,1
50023,1000,1
50039,1000,1
50011,1000,1
50015,1000,1
50016,1000,1
50022,1000,1
50017,1000,1
50002,1000,1
50030,1000,1
42067,5000,1
42068,5000,1
2020,100,1
